MeetingDate,MeetingType,BodyName,EventInSiteURL,EventAgendaFile,EventMinutesFile,EventVideoPath,MatterTypeName,MatterRequester,AgendaItemNumber,AgendaItemTitle,AgendaItemDescription,MatterPassedDate,MatterNotes,EventItemConsent,EventItemPassedFlag,EventItemTally,IndexName,ActionName,ActionText,EventItemAgendaNote,EventItemMinutesNote,Mover,Seconder,MatterSponsors,MatterAttachmentURLs,EventItemVideo,Kate Gallego (Mayor),Ann O'Brien (D1-Vice Mayor),Jim Waring (D2),Debra Stark (D3),Laura Pastor (D4),Betty Guardado (D5),Kevin Robinson (D6),Anna Hernandez (D7),Kesha Hodge Washington (D8)
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,30,Traffic Control Products and Related Solutions Contract - COOP 23-094 - Request for Award (Ordinance S-50450),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,31,Grant of Irrigation Easements to Salt River Project for the Vista del Sur Development Located at 99th and Southern Avenues (Ordinance S-50453),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,32,"Parts, Installation & Service for Direct Current Battery - IFB 19-020 - Amendment (Ordinance S-50454)",,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,33,Landfill Services - Requirements Contract - IFB 18-318 - Amendment (Ordinance S-50457),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,34,Barricade and Warning Device Rental/Set-Up Contract - IFB-24-0015 Request for Award (Ordinance S-50460),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,35,"Amend Ordinance S-50170 Acceptance of Easements for Drainage, Water, and Sewer Purposes (Ordinance S-50464)",,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,36,Lot Maintenance Services - IFB 18-313 - Amendment (Ordinance S-50465),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,37,Court Reporting and Transcription Services - MC171190-S - Amendment (Ordinance S-50467),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,38,"Acceptance and Dedication of Easements and a Deed for Sidewalk, Public Utility and Roadway Purposes (Ordinance S-50468)",,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,39,Acceptance of an Easement for Drainage Purposes (Ordinance S-50472),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,40,Dedication of Right-of-Way Along the East Side of 35th Avenue at the Crosswalk from Cortez Park to Eva Street (Ordinance S-50475),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,41,Insurance Brokerage and Related Consulting Services Contract - RFP 18-01 RMD - Amendment (Ordinance S-50490),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,42,Stop-Loss Insurance for Active Employee Medical and Pharmacy Benefits (Ordinance S-50492),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,43,Project Managers and Business Analyst - Amendment (Ordinance S-50461),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,44,Legal Services - Letter of Agreement to Extend Contract for Legal Services with Squire Patton Boggs (US) LLP (Ordinance S-50466),,,,0,1,,,adopted,"A motion was made by Vice Mayor Ansari, seconded by Councilwoman Pastor, that this item be adopted. The motion carried by the following vote:",,,Yassamin Ansari,Laura Pastor,,,,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,COMMUNITY SERVICES,,,,0,,,,,,,,,,,,,,,,,,,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,45,Authorization to Accept Funds and Materials and Enter into a Partners for Fish and Wildlife Program Landowner Agreement (Ordinance S-50463),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,46,Authorization to Extend Intergovernmental Agreement 158346 with Maricopa County (Ordinance S-50469),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,47,"Request Authorization to Enter into Contract with the Southwest Center for HIV/AIDS, Inc. (Ordinance S-50479)",,,,0,1,,,adopted,"A motion was made by Vice Mayor Ansari, seconded by Councilwoman O'Brien, that this item be adopted. The motion carried by the following vote:",,,Yassamin Ansari,Ann O'Brien,,,,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote,Voice Vote
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,48,"Retroactive Authorization to Apply for, Accept and Disburse Arizona Department of Housing Grant Funding (Ordinance S-50480)",,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,ECONOMIC DEVELOPMENT,,,,0,,,,,,,,,,,,,,,,,,,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,49,Authorization to Enter into an Intergovernmental Agreement with Arizona Board of Regents on behalf of Phoenix Bioscience Core for an update to the Comprehensive Master Development Plan (Ordinance S-50442),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,50,Alarm System Services Contract - IFB PCC 24-0027 Request for Award (Ordinance S-50452),,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,,,,PUBLIC SAFETY,,,,0,,,,,,,,,,,,,,,,,,,,,
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,51,"Firefighting Nozzles, Valves, and Clamps - National Purchasing Partners - Amendment (Ordinance S-50471)",,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
2024-01-03,Formal,City Council Formal Meeting,https://phoenix.legistar.com/MeetingDetail.aspx?LEGID=2309&GID=485&G=3F9B5896-D56F-4AD3-85AD-A8E5E58DD74C,,,,Ordinance-S,,52,"Workforce Management System Software - 14-JLR-003 - Letter of Agreement to Extend Contract for Workforce Management System Software with UKG Inc. dba UKG Kronos Systems, LLC (Ordinance S-50484)",,,,1,1,,,adopted,This item was adopted.,,,,,,,,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent,Consent
